SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,INE459A01010
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,INE213C01025
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,INE545U01014
BANG,Bang Overseas Limited,EQ,20-FEB-2008,INE863I01016
BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,INE862Y01015
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,INE028A01039
BANKINDIA,Bank of India,EQ,30-APR-1997,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,EQ,10-JUL-2024,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,INE629D01020
BASF,BASF India Limited,EQ,17-MAY-1995,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,INE186H01022
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,INE176A01028
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,INE462A01022
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,INE464A01036
BBOX,Black Box Limited,EQ,22-JUL-2003,INE676A01027
BBTC,The Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,INE050A01025
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,INE01EE01011
BCG,Brightcom Group Limited,EQ,08-MAY-2015,INE425B01027
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,INE412G01024
BCONCEPTS,Brand Concepts Limited,EQ,11-JAN-2022,INE977Y01011
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,INE171Z01026
BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,INE495P01020
BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,INE844K01012
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,EQ,18-JUL-2025,INE344T01014
BELRISE,Belrise Industries Limited,EQ,28-MAY-2025,INE894V01022
BEML,BEML Limited,EQ,05-NOV-2003,INE258A01024
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,INE463A01038
BESTAGRO,Best Agrolife Limited,BE,10-APR-2024,INE052T01021
BETA,Beta Drugs Limited,EQ,24-NOV-2025,INE351Y01019
BFINVEST,BF Investment Limited,EQ,14-JAN-2011,INE878K01010
BFUTILITIE,BF Utilities Limited,BZ,03-MAY-2007,INE243D01012
BGRENERGY,BGR Energy Systems Limited,EQ,03-JAN-2008,INE661I01014
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,INE414D01027
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,BE,17-MAY-2017,INE458B01036
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,INE474E01029
BHARATCOAL,Bharat Coking Coal Limited,EQ,19-JAN-2026,INE05XR01022
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,INE465A01025
BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,INE561C01019
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,INE838B01021
BHARATSE,Bharat Seats Limited,EQ,24-MAR-2025,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,INE316L01019
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-APR-2024,INE343G01021
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,INE257A01026
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,INE412U01025
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,INE00E101023
BIL,Bhartiya International Limited,EQ,12-APR-2000,INE828A01016
BILVYAPAR,BIL VYAPAR LIMITED,BE,27-SEP-2006,INE071A01013
BIOCON,Biocon Limited,EQ,07-APR-2004,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,INE829A01014
BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,INE800A01015
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008,INE865C01022
BIRLANU,BirlaNu Limited,EQ,26-APR-1995,INE557A01011
BLACKBUCK,BLACKBUCK LIMITED,EQ,22-NOV-2024,INE0UIZ01018
BLAL,BEML Land Assets Limited,EQ,19-APR-2023,INE0N7W01012
BLBLIMITED,BLB Limited,EQ,31-MAY-2000,INE791A01024
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,INE350H01032
BLS,BLS International Services Limited,EQ,14-JUN-2016,INE153T01027
BLSE,BLS E-Services Limited,EQ,06-FEB-2024,INE0NLT01010
BLUECHIP,Blue Chip India Limited,EQ,12-MAR-1997,INE657B01025
BLUECOAST,Blue Coast Hotels Limited,EQ,16-FEB-2000,INE472B01011
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,EQ,01-NOV-2023,INE0KBH01020
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,INE472A01039
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,19-AUG-2025,INE304W01038
BLUSPRING,Bluspring Enterprises Limited,EQ,11-JUN-2025,INE0U4101014
BMWVENTLTD,BMW Ventures Limited,EQ,01-OCT-2025,INE965W01036
BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,INE338D01028
BOHRAIND,Bohra Industries Limited,EQ,27-OCT-2022,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,INE032A01023
BORANA,Borana Weaves Limited,BE,27-MAY-2025,INE16SF01016
BOROLTD,Borosil Limited,EQ,22-JUL-2020,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,INE666D01022
BOROSCI,Borosil Scientific Limited,EQ,07-JUN-2024,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ,03-JAN-2000,INE782A01015
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,INE029A01011
BPL,BPL Limited,EQ,14-JUN-1995,INE110A01019
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,INE791I01019
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,31-JUL-2025,INE03NU01014
